rt @microcarpa1 argentine and brazilian doctors name larvicide as potential cause of microcephalyhttps//t.co/r3vphlkiyb zika  https//…|None
rt @cafecomnoticia_ "hoje o mosquito está muito mais forte. com a vinda do vírus zika, está ocorrendo uma desestruturação nas famílias bra…|None
eua contrata médicos para protegerse del zika el comité olímpico estadounidense pretende disipar los temores ... https//t.co/dfkfnhc5hp|None
y'a pas de perso atypique, qui nous donne envie de regarder, du coup c'est un peu de la merde|None
luego de confirmar el primer caso de zika en el municipio de agua dulce, @drbenitezo remarcó la importancia de las acciones preventivas.|{u'full_name': u'Veracruz, Veracruz de Ignacio de la Llave', u'url': u'https://api.twitter.com/1.1/geo/id/6c67fe933a62a8ec.json', u'country': u'M\xe9xico', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-96.340535, 19.102814], [-96.340535, 19.265092], [-96.118258, 19.265092], [-96.118258, 19.102814]]]}, u'country_code': u'MX', u'attributes': {}, u'id': u'6c67fe933a62a8ec', u'name': u'Veracruz'}
https//t.co/5wwmkxqgg0thinkingcap snapchat king spotify soundcloud https//t.co/65ecgx5hma https//t.co/fhyz4ijdkc|None
rt @oshio_at いるとかいないとかじゃなくてそういうものは体験するものなのだし人類の歴史からも心理学的にも意味のあることでしょうね→「死者」とともに歩む街　なぜ、被災地に「幽霊」がでるのか？ https//t.co/t7ma9qtewm|None
zikazero todosenvolvidos https//t.co/to4xz9qfuo|None
rush to develop zika vaccine https//t.co/exkjtxfyp8|None
@potterheadconf1 @nialloud @bowiebzh je me sens triste d'un coup|None
eua contrata médicos para protegerse del zika el comité olímpico estadounidense pretende disipar los temores ... https//t.co/wbgqky0ozc|None
fico vendo essas fita de dengue e me da até medo de pegar dnv|None
rt @a3noticias hallan restos de zika en el semen de un hombre 62 días después de que le diagnosticaran la enfermedad https//t.co/4cysvujk…|None
not the states purview. https//t.co/fwcpb8v11y|None
rt @barackobama read president obama's thoughts on climate change, technology, and womeninstem https//t.co/vryx8cxfek https//t.co/ircn…|None
rt @yorkparamedics anticipating a very cold long weekend ahead. if you're traveling, stock the car with emergency first aid items; blanket…|None
"this app turns your android phone into an earthquake sensor" https//t.co/jty308n6bf startup|None
eua contrata médicos para protegerse del zika el comité olímpico estadounidense pretende disipar los temores ... https//t.co/93ucy1uhgc|None
brazil minister says no doubt zika connected to microcephaly https//t.co/eydjaruetg by mix_alert|None
@angelinajolie_a moustimaille fini zika .sortez couvert ! recherche partenariat développeur.|None
@sarasnts sushsushshs chico cunha.../ pera aí, ele ta doente? com.dengue?|None
rt @untnphc please bring cases of bottled water out on friday and saturday to help the flint water crisis! denton2flint https//t.co/in6v…|None
rt @hillary2016pres newsflash you don’t have to be a scientist to know that climate change is real, and act to combat it. gopdebate @hil…|None
rt @elpropioweb primer caso de virus zika en china por hombre que regresó de venezuela  https//t.co/okwyabr7ev https//t.co/6n0knbc0pv|None
eua contrata médicos para protegerse del zika el comité olímpico estadounidense pretende disipar los temores ... https//t.co/ecye0idirj|None
rt @latercera ¿lo sabías? decretaron alerta sanitaria en isla de pascua por brote de dengue https//t.co/ud22iqveol https//t.co/amljn9xdyo|None
nigerian army frees 275 boko haram suspects from prison https//t.co/i8zrfsrtag”|None
virus del zika permanece en semen por dos meses - diario digital juárez https//t.co/4runuuczod eeuu|None
rt @weknowwhatsbest obama flew from a fundraiser in san jose to ellen degeneres in hollywood to golf in palm springs. yay! global warming …|None
rt @blobert @michelebachmann apparently they don't talk about watergate, vietnam, iran contra, the iraq war, the bush great recession unde…|None
@barackobama @potus @whitehouse @cnn why isn't anything coming out about the terrorist attack last night in ohio? https//t.co/eis9akkxaq|None
eua contrata médicos para protegerse del zika el comité olímpico estadounidense pretende disipar los temores ... https//t.co/pfcbpbzeow|None
rt @realfriendsband i'm pretty sure the show sold out. all proceeds will be going to the water crisis in flint, michigan. thanks everybody…|None
rt @mediagag on the day sami was born, an earthquake in greece killed 16 people. the earthquake is still considered a lesser tragedy. sam…|None
@thevampsfrance hey on lance un projet itw/report/session accoustic, on aurait besoin d'un ptit coup de main hesitez pas a rt/follow ☺thanks|None
well what else would you do ? just sit there in the street ? lol https//t.co/evdntburag|None
